2015-09-24 09:21:49,721 [main] INFO  z.s.s.d.jpa.SampleDataJpaApplication [Line:47 ] - Starting SampleDataJpaApplication on Company with PID 28826 (/home/fgq/develop/eclipse/work/spring-boot/sample-data-jpa/target/classes started by fgq in /home/fgq/develop/eclipse/work/spring-boot/sample-data-jpa)
2015-09-24 09:21:49,777 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext [Line:510] - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@19dc67c2: startup date [Thu Sep 24 09:21:49 CST 2015]; root of context hierarchy
2015-09-24 09:21:50,396 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory [Line:822] - Overriding bean definition for bean 'beanNameViewResolver': replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration; factoryMethodName=beanNameViewResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter; factoryMethodName=beanNameViewResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter.class]]
2015-09-24 09:21:50,851 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [Line:309] - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$9d5fd2ad] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-09-24 09:21:50,868 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [Line:309] - Bean 'transactionAttributeSource' of type [class org.springframework.transaction.annotation.AnnotationTransactionAttributeSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-09-24 09:21:50,876 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [Line:309] - Bean 'transactionInterceptor' of type [class org.springframework.transaction.interceptor.TransactionInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-09-24 09:21:50,879 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [Line:309] - Bean 'org.springframework.transaction.config.internalTransactionAdvisor' of type [class org.springframework.transaction.interceptor.BeanFactoryTransactionAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-09-24 09:21:51,346 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer [Line:79 ] - Tomcat initialized with port(s): 8900 (http)
2015-09-24 09:21:51,580 [main] INFO  o.a.catalina.core.StandardService [Line:180] - Starting service Tomcat
2015-09-24 09:21:51,582 [main] INFO  o.a.catalina.core.StandardEngine [Line:180] - Starting Servlet Engine: Apache Tomcat/8.0.23
2015-09-24 09:21:51,760 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [Line:180] - Initializing Spring embedded WebApplicationContext
